Actor1Code,Actor1Name,Actor1Geo_ADM1Code,Actor2Code,Actor2Name,Actor2Geo_ADM1Code,ActionGeo_FullName,ActionGeo_ADM1Code,Year,SQLDATE
GOV,PRESIDENT,RB,,,,,RB,2001,20010111
GOV,PRESIDENT,RB,,,,"Sarajevo, Federation of Bosnia and Herzegovina, Bosnia-Herzegovina",BK01,2001,20010110
FRA,FRANCE,FRA5,MOS,MUSLIM,FRA5,"Castello, Corse, France",FRA5,2001,20010110
ISRGOV,ISRAEL,IS,ISR,ISRAEL,IS,Israel,IS,2001,20010711
CHN,CANTON,RB,ALB,ALBANIAN,RB,,RB,2001,20010530
CVL,POPULATION,RB00,ALB,ALBANIAN,AL,Albania,AL,2001,20010304
PSE,PALESTINE,US,,,,United States,US,2001,20010913
HIN,HINDU,IN36,UAF,MILITANT,IN36,"Agra, Uttar Pradesh, India",IN36,2001,20010830
ALBCVL,ALBANIAN,AL,ALB,ALBANIAN,AL,"Belgrade, Serbia (general),",RB00,2001,20010209
BTNREF,BHUTANESE,BT,nep,NEPALI,NP00,"Jhapa, Nepal (general), Nepal",NP00,2001,20010522
ALB,ALBANIAN,MK,COP,POLICE,MK,Macedonia,MK,2001,20011212
ARM,ARMENIAN,AJ00,AZE,AZERBAIJANI,AJ00,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010227
IRQMED,IRAQ,IZ14,IRQ,KIRKUK,IZ14,"Sahar, Maysan, Iraq",IZ14,2001,20011211
CVL,ETHNIC GROUP,NI00,,,,"Middle Belt, Nigeria (general), Nigeria",NI00,2001,20011206
GOV,PRESIDENT,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010314
IGOUNO,THE UN,AL,,,,"Belgrade, Serbia (general),",RB00,2001,20010223
ALBGOV,ALBANIA,AL,ALB,ALBANIAN,RB00,Albania,AL,2001,20010315
ISR,ISRAEL,IS,JUD,TRIBUNAL,IS,Israel,IS,2001,20010907
MOS,ISLAMIC,US,PSE,PALESTINE,BK,Bosnia-Herzegovina,BK,2001,20010830
ALB,ALBANIAN,AL,,,,Albania,AL,2001,20010523
srpCHR,SERBS,RB,IGOWSTNAT,NATO,RB,,RB,2001,20011027
JUD,TRIBUNAL,RW,,,,Rwanda,RW,2001,20010722
MKD,MACEDONIA,MK00,ALB,ALBANIA,AL42,"Tanusevci, Macedonia (general), Macedonia",MK00,2001,20010227
LEG,PARLIAMENTARIAN,NI26,,,,"Benue State, Benue, Nigeria",NI26,2001,20011026
,,,COP,POLICE,BK02,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010601
MOS,MUSLIM,BM17,MMR,MYANMAR,BM17,"Arakan, Yangon, Myanmar",BM17,2001,20010219
IGOEUREEC,THE EUROPEAN UNION,GR35,,,,"Athens, AttikíR, Greece",GR35,2001,20010729
MKD,MACEDONIA,MK00,,,,"Trebos, Macedonia (general), Macedonia",MK00,2001,20011122
NGA,NIGERIA,NI26,NGALEG,NIGERIA,NI26,United States,US,2001,20011026
PAK,PAKISTAN,PK05,UZB,UZBEK,UZ,Uzbekistan,UZ,2001,20011204
ALB,ALBANIA,AL,MIL,ARMY UNIT,AL,Albania,AL,2001,20010406
MKD,MACEDONIAN,MK,ALB,ALBANIA,AL,Albania,AL,2001,20010301
ALB,ALBANIAN,MK,MKD,MACEDONIAN,MK,Macedonia,MK,2001,20010301
IRQ,IRAQI,IZ05,IRN,IRAN,IR15,"Kalar, As Sulaymaniyah, Iraq",IZ05,2001,20010817
IRQ,IRAQ,IZ07,NGOHRIAMN,AMNESTY INTERNATIONAL,IZ07,"Baghdad, Baghdad, Iraq",IZ07,2001,20010811
MKD,MACEDONIAN,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010716
MOS,MUSLIM,HR,HRV,CROATIA,HR,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010312
CVL,POPULATION,IS,ISR,ISRAEL,IS,Israel,IS,2001,20010830
PSE,PALESTINE,IS,,,,Israel,IS,2001,20010901
AFG,KABUL,AF13,TJK,TAJIK,TI,Tajikistan,TI,2001,20011026
MKD,MACEDONIAN,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20011213
ALBREB,ALBANIAN,MKE8,REB,INSURGENT,MKE8,"Tetovo, Tetovo, Macedonia",MKE8,2001,20010322
CVL,POPULATION,AL,ALB,ALBANIAN,RB00,Albania,AL,2001,20010617
ALB,ALBANIAN,AL,IGOWSTNATMIL,NATO,MK00,Albania,AL,2001,20010801
srp,SERBS,RB,,,,,RB,2001,20010711
CVL,ETHNIC GROUP,BK02,MOS,MUSLIM,HR,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010507
EGY,EGYPT,EG11,PSE,PALESTINIAN,IS,Israel,IS,2001,20010711
MKD,MACEDONIAN,MK54,,,,"Krusevo, Kruševo, Macedonia",MK54,2001,20010802
ALB,ALBANIAN,AL,ALBCVL,ALBANIA,AL,Albania,AL,2001,20010322
IGOUNO,THE UN,AL,,,,"Belgrade, Serbia (general),",RB00,2001,20010216
GBR,UNITED KINGDOM,UK,AZE,AZERBAIJAN,AJ61,"Xocali, Xank?ndi*, Azerbaijan",AJ61,2001,20010407
ALB,ALBANIAN,AL45,,,,"Elez, GjirokastëAL, Albania",AL45,2001,20010104
ITA,ARNO,BM17,MOS,MUSLIM,BM17,"Arakan, Yangon, Myanmar",BM17,2001,20011105
MKD,MACEDONIAN,AL,,,,Albania,AL,2001,20010608
ALBUAF,ALBANIAN,AL40,,,,"Tetove, Tetovo, Macedonia",MKE8,2001,20010729
IGOMEAARL,ARAB LEAGUE,EG11,PSE,PALESTINIAN,IS,Israel,IS,2001,20010711
PSE,PALESTINE,IR26,,,,"Tehran, Tehran, Iran",IR26,2001,20010901
MKD,MACEDONIAN,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010724
RUS,RUSSIA,RS48,ALB,ALBANIAN,AL,Albania,AL,2001,20010616
CVL,POPULATION,RS48,ALB,ALBANIAN,RB00,"Belgrade, Serbia (general),",RB00,2001,20010617
INDGOV,JAMMU AND KASHMIR,PK,PAK,PAKISTAN,PK,Pakistan,PK,2001,20010206
ALB,ALBANIAN,MKE8,MKD,MACEDONIA,MKE8,"Tetovo, Tetovo, Macedonia",MKE8,2001,20010322
USA,UNITED STATES,USDC,,,,"Washington, District of Columbia, United States",USDC,2001,20010510
HRV,CROATIA,HR,SCGSRB,SERBIA,RI00,"Vojvodina, , Serbia",RI00,2001,20010117
CVL,MINORITIES,RI,HRV,CROATIA,RI,Serbia,RI,2001,20010215
ALB,ALBANIAN,AL50,,,,"Tirana, Tirane, Albania",AL50,2001,20011109
znd,AZERI,AM11,,,,"Yerevan, Yerevan*, Armenia",AM11,2001,20010405
ALB,ALBANIA,AL,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010309
ISR,ISRAEL,IS,PSE,GAZA,GZ,Israel,IS,2001,20011018
GOV,MINIST,EG11,,,,"Kalimantan, Indonesia (general), Indonesia",ID00,2001,20010226
ISRGOV,TEL AVIV,IS05,,,,"Tel Aviv, Tel Aviv, Israel",IS05,2001,20010424
IRQ,IRAQI KURDISTAN,IZ05,,,,"Surdash, As Sulaymaniyah, Iraq",IZ05,2001,20010328
SCGSRB,SERBIA,RB00,,,,"Medvedja, , Serbia",RI00,2001,20011106
CVL,CITIZEN,IZ,,,,Iraq,IZ,2001,20010916
INT,WORLD COMMUNITY,AJ00,,,,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010404
IDN,INDONESIA,ID13,mad,MADURESE,ID13,"Sampit, Kalimantan Tengah, Indonesia",ID13,2001,20010809
USA,AMERICAN,IR26,,,,"Tehran, Tehran, Iran",IR26,2001,20011103
srp,SERBS,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010829
SCGSRB,SERBIA,RI00,,,,"Belgrade, Serbia (general),",RB00,2001,20011106
EUR,EUROPE,SF,ZWEGOV,ZIMBABWE,SF,South Africa,SF,2001,20010817
GOV,DICTATOR,BK,,,,Kosovo,KV,2001,20010702
GRC,GREEK,GR,CYPCVL,CYPRIOT,CY04,Greece,GR,2001,20010530
HRV,CROAT,HR,MOS,MUSLIM,UK,Croatia,HR,2001,20010226
IGOUNO,THE UN,RB,srp,SERBS,RB,Albania,AL,2001,20010131
GOV,GOVERNMENT,AF13,AFGCVL,AFGHANISTAN,AF13,"Kabul, Kabol, Afghanistan",AF13,2001,20011223
MKD,MACEDONIA,MKE3,ALB,ALBANIAN,AL,Albania,AL,2001,20010811
IGOUNO,THE UN,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010216
USA,UNITED STATES,USDC,,,,"Washington, District of Columbia, United States",USDC,2001,20011107
ALB,ALBANIAN,AL,,,,Albania,AL,2001,20010322
MIL,PARAMILITARY,FR,,,,France,FR,2001,20010712
ISR,ISRAEL,IS,GOV,TOURISM MINIST,IS,Israel,IS,2001,20011022
GBR,UNITED KINGDOM,UK,AZE,AZERBAIJAN,AJ57,"Maraga, T?rt?r, Azerbaijan",AJ57,2001,20010407
AZE,AZERBAIJAN,AJ00,znd,AZERI,AJ00,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010702
AFR,AFRICA,SF,ZWEGOV,ZIMBABWEAN,ZI,Zimbabwe,ZI,2001,20010814
IRQGOV,IRAQI,IZ07,IRQ,ARBIL,IZ07,"Baghdad, Baghdad, Iraq",IZ07,2001,20010817
MOS,MUSLIM,BK02,HRV,CROAT,HR,,RB,2001,20011003
IGOWSTNAT,NATO,RS48,,,,"Moscow, Moskva, Russia",RS48,2001,20010412
JUD,JUDGE,BK02,,,,"Srebrenica, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010626
CRM,CRIMINAL,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010402
MKD,MACEDONIA,MK,,,,Macedonia,MK,2001,20010821
ISRMED,JERUSALEM POST,US,ISR,ISRAELI,US,United States,US,2001,20010703
AFG,AFGHANISTAN,AF10,,,,"Hazaras, Helmand, Afghanistan",AF10,2001,20010102
ARM,ARMENIAN,AM,AZE,AZERBAIJAN,AJ00,Armenia,AM,2001,20010319
HRV,CROAT,RB,,,,,RB,2001,20010316
CRM,CRIMINAL,RB,MOS,MUSLIM,RB,,RB,2001,20010122
GOV,GOVERNMENT,CT18,,,,"Bangui, Bangui, Central African Republic",CT18,2001,20010528
UIS,THE INTERNATIONAL COMMUNITY,IZ05,,,,"Sulaymaniyah, As Sulaymaniyah, Iraq",IZ05,2001,20010109
HRV,CROAT,HR19,,,,"Mostar, Zadarska, Croatia",HR19,2001,20010705
MILCOP,MILITARY POLICE,HR21,,,,"Zagreb, Zagreb, Grad, Croatia",HR21,2001,20010715
ALBRAD,ALBANIAN,MK00,MKD,MACEDONIA,MK00,"Kosovo, Macedonia (general), Macedonia",MK00,2001,20010219
GOV,MINIST,MK00,CVL,CITIZEN,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010821
IGOEURSCE,OSCE,MKD4,MKD,MACEDONIAN,MKD4,"Gostivar, Gostivar, Macedonia",MKD4,2001,20010727
GBRMED,UNITED KINGDOM,UKU2,GBR,BRITISH,UKU2,"Dumfries, Dumfries and Galloway, United Kingdom",UKU2,2001,20010316
CVL,POPULATION,MY,PSE,PALESTINE,MY,Malaysia,MY,2001,20010810
MOS,MUSLIM,RB,,,,,RB,2001,20011009
srp,SERBS,RB,,,,"Trnopolje, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010319
RUS,RUSSIA,UK,ALB,ALBANIA,AL,Albania,AL,2001,20010617
MOS,MUSLIM,BK02,srp,SERBS,RB,,RB,2001,20010222
ALBMIL,ALBANIAN,MK00,ALB,ALBANIA,MK00,"Radusa, Macedonia (general), Macedonia",MK00,2001,20010813
MKD,MACEDONIAN,MKE3,MKDGOV,MACEDONIA,MKE3,Albania,AL,2001,20010811
MIL,ARMY,PL,COP,POLICE FORCE,PL,Poland,PL,2001,20010308
JUD,PROSECUTOR,BK02,MOS,MUSLIM,RB00,"Belgrade, Serbia (general),",RB00,2001,20010323
EGY,EGYPT,EG11,ISR,ISRAEL,BE,Belgium,BE,2001,20010717
HRV,CROAT,HR21,srp,SERBS,HR21,"Zagreb, Zagreb, Grad, Croatia",HR21,2001,20010716
NGA,NIGERIA,NI26,NGALEG,NIGERIA,NI26,"Benue State, Benue, Nigeria",NI26,2001,20011026
ALB,ALBANIAN,AL,,,,Albania,AL,2001,20010223
GOV,GOVERNMENT,AL,ALB,ALBANIA,AL,"Tehran, Tehran, Iran",IR26,2001,20010731
GOV,MINIST,AL,ALBCVL,ALBANIAN,AL,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010828
NLDJUD,THE HAGUE,RB,bos,BOSNIAKS,RB,,RB,2001,20010109
MIL,MILITARY,UK,che,CHECHEN,RS17,"Chechen, Dagestan, Russia",RS17,2001,20010323
ALB,ALBANIAN,AL40,ALBUAF,ALBANIA,AL40,"Tetove, Tetovo, Macedonia",MKE8,2001,20010729
IRQ,IRAQI,IZ05,kur,KURD,IZ05,"Sulaymaniyah, As Sulaymaniyah, Iraq",IZ05,2001,20010105
ALBUAF,ALBANIAN,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010823
ALBUAF,ALBANIA,AL,MKD,MACEDONIA,MKD4,"Gostivar, Gostivar, Macedonia",MKD4,2001,20010727
PAK,PAKISTAN,IN36,UAF,MILITANT,IN36,"Kashmir, Jammu and Kashmir, India",IN12,2001,20010724
IRQ,IRAQI,IZ05,IRQGOV,IRAQ,IZ05,"Bakrajo, As Sulaymaniyah, Iraq",IZ05,2001,20011220
MKD,MACEDONIA,MK00,ALB,ALBANIAN,AL,Albania,AL,2001,20010627
MKD,MACEDONIA,MK00,,,,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010719
MIL,MILITARY,RB00,HRV,CROATIA,RB00,"Belgrade, Serbia (general),",RB00,2001,20010704
REB,REBELLION,TU34,,,,"Istanbul, Istanbul, Turkey",TU34,2001,20011202
srp,SERBS,US,HRV,CROAT,US,Chile,CI,2001,20010706
AZE,AZERBAIJAN,AJ09,MOS,MUSLIM,BK,Bosnia-Herzegovina,BK,2001,20010702
BEL,BRUSSELS,BE11,,,,"Belgrade, Serbia (general),",RB00,2001,20010629
IRQ,KIRKUK,IZ07,IRQGOV,IRAQ,IZ07,"Baghdad, Baghdad, Iraq",IZ07,2001,20010707
GOV,PRESIDENT,RB00,,,,"Belgrade, Serbia (general),",RB00,2001,20010321
,,,HRV,CROATIA,HR,"Prijedor, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20011012
TUR,TURK,TU,CYPGOV,CYPRUS,TU,Turkey,TU,2001,20010902
HRV,CROAT,BK02,HRVCVL,CROATIA,RB,Croatia,HR,2001,20010507
NLDJUD,THE HAGUE,BK02,GOV,MAYOR,BK02,"Bosanski Samac, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010323
CVL,VILLAGE,MK00,MKD,MACEDONIAN,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010810
EUR,EUROPE,BK,,,,Bosnia-Herzegovina,BK,2001,20010425
GBRGOV,BRITISH,IT,JUDGOV,LAWYER,IT,Italy,IT,2001,20011024
UIS,THE INTERNATIONAL COMMUNITY,BK02,,,,"Republika Srpska, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010321
ITA,ITALY,IT07,NLD,THE HAGUE,IT07,"Rome, Lazio, Italy",IT07,2001,20010330
GOV,PRESIDENT,CQ,CHN,TIBET,CQ,Northern Mariana Islands,CQ,2001,20010310
srp,SERBS,US,USA,UNITED STATES,AF,Afghanistan,AF,2001,20010930
IRN,IRAN,IR26,,,,"Tehran, Tehran, Iran",IR26,2001,20011124
MKD,MACEDONIA,MK00,,,,"Ratae, Macedonia (general), Macedonia",MK00,2001,20010808
NGALEG,NIGERIA,NI26,NGA,NIGERIA,NI00,"Benue, Nigeria (general), Nigeria",NI00,2001,20011025
GOV,MAYOR,RB00,MOS,MUSLIM,HR,Bosnia-Herzegovina,BK,2001,20010312
RUS,RUSSIA,RS48,,,,"Moscow, Moskva, Russia",RS48,2001,20010817
srp,SERBS,BK,COP,DEPUTIES,RB00,Bosnia-Herzegovina,BK,2001,20010702
PAK,PAKISTAN,IN12,UAF,MILITANT,IN12,"Kashmir, Jammu and Kashmir, India",IN12,2001,20010724
IRQ,KIRKUK,IR15,IRQGOV,IRAQ,IR15,"Kurdistan, Khuzestan, Iran",IR15,2001,20010707
IRQ,IRAQI,IZ13,,,,"Kirkuk, At Ta'mim, Iraq",IZ13,2001,20011215
ALBRAD,ALBANIAN,AL,MIL,COMMANDER,AL,Albania,AL,2001,20010212
ISR,ISRAEL,IS,PSE,PALESTINIAN,IS,Israel,IS,2001,20010827
CVL,VILLAGE,BK01,,,,"Lasva, Federation of Bosnia and Herzegovina, Bosnia-Herzegovina",BK01,2001,20010226
srp,SERBS,BK02,,,,"Prijedor, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010319
